Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.04 	|y= -0.02 	|z= -0.23	Mag:	|x= -10.69 	|y= 16.19loadCell: 751.61Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.03 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.00 	|y= 15.38 	|z= -32.88	Accl:	|16 	|y= 0.88 	|z= 9.76		
|y= 0.88 	|z= -5.13	x= -11.00 	|y= 16.87	
Rot:	|x= 0.06 	|y= -0.06 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.25	Mag:	|x= -11.00 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.87 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.24	Mag:	|x= -12.06 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.70Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.12 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.23	Mag:	|x= -9.88 	|y= 16.87 	|z= -34.06	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.68Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.26	Mag:	|x= -10.25 	|y= 16.56 	|z= -34.06	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.67Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.23	Mag:	|x= -11.38 	|y= 16.87 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.87 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.67Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.26	Mag:	|x= -11.00 	|y= 16.19 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.68Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.05 	|y= -0.01 	|z= -0.22	Mag:	|x= -10.69 	|y= 16.56 	|z= -32.88	Accl:	|x= 0.10 	|y= 0.86 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.68Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= -0.19	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.26	Mag:	|x= -11.38 	|y= 16.19 	|z= -33.25	Accl:	|x= 0.13 	|y= 0.88 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.72Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.23	Mag:	|x= -11.38 	|y= 16.19 	|z= -32.88	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.76Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.03 	|z= -0.27	Mag:	|x= -11.00 	|y= 16.19 	|z= -32.88	Accl:	|x= 0.13 	|y= 0.83 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.76Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.19 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.23	Mag:	|x= -12.06 	|y= 15.75 	|z= -33.25	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.76Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.01 	|z= -0.24	Mag:	|x= -11.00 	|y= 16.19 	|z= -34.88	Accl:	|x= 0.12 	|y= 0.86 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.79Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.19 	|z= 0.12	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.21	Mag:	|x= -11.38 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.55	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.81Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= 0.00 	|y= -0.01 	|z= -0.24	Mag:	|x= -10.69 	|y= 16.19 	|z= -34.50	Accl:	|x= 0.16 	|y= 0.86 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.83Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.01 	|y= -0.04 	|z= -0.24	Mag:	|x= -11.75 	|y= 16.87 	|z= -33.69	Accl:	|x= 0.14 	|y= 0.83 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.84Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.01 	|y= -0.03 	|z= -0.22	Mag:	|x= -11.38 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.87 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.83Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.24	Mag:	|x= -11.38 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.81Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.01 	|y= -0.02 	|z= -0.23	Mag:	|x= -11.00 	|y= 16.19 	|z= -34.06	Accl:	|x= 0.14 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.25	Mag:	|x= -11.00 	|y= 15.75 	|z= -34.88	Accl:	|x= 0.14 	|y= 0.85 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.03 	|y= -0.01 	|z= -0.27	Mag:	|x= -11.75 	|y= 16.87 	|z= -32.88	Accl:	|x= 0.12 	|y= 0.86 	|z= 9.49	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.81Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= 0.12 	|z= -0.06	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.26	Mag:	|x= -10.25 	|y= 16.56 	|z= -34.06	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.48	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.22	Mag:	|x= -11.00 	|y= 16.56 	|z= -34.88	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.12 	|z= -0.06	Linear:	|x= -0.03 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.00 	|y= 16.19 	|z= -33.25	Accl:	|x= 0.12 	|y= 0.87 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.82Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.19 	|z= 0.00	Linear:	|x= -0.01 	|y= -0.01 	|z= -0.24	Mag:	|x= -11.00 	|y= 16.87 	|z= -34.06	Accl:	|x= 0.14 	|y= 0.86 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.12 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.23	Mag:	|x= -11.75 	|y= 16.19 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.79Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.03 	|y= 0.00 	|z= -0.22	Mag:	|x= -11.00 	|y= 16.56 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.88 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.77Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= -0.06	Linear:	|x= -0.01 	|y= -0.02 	|z= -0.23	Mag:	|x= -11.00 	|y= 15.06 	|z= -33.69	Accl:	|x= 0.14 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.74Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.19 	|y= 0.12 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.05 	|z= -0.25	Mag:	|x= -11.00 	|y= 16.19 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.82 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.72Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= -0.06	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.23	Mag:	|x= -11.75 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.87 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.72Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.12 	|z= 0.06	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.22	Mag:	|x= -10.25 	|y= 16.56 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.70Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.03 	|y= -0.01 	|z= -0.23	Mag:	|x= -11.38 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.70Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= -0.06	Linear:	|x= 0.00 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.38 	|y= 16.19 	|z= -33.25	Accl:	|x= 0.15 	|y= 0.87 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.70Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= -0.12	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.23	Mag:	|x= -12.06 	|y= 15.38 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.69Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.25	Mag:	|x= -10.69 	|y= 16.56 	|z= -33.25	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.70Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.04 	|z= -0.23	Mag:	|x= -11.38 	|y= 17.69 	|z= -34.88	Accl:	|x= 0.13 	|y= 0.83 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.71Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= -0.06	Linear:	|x= -0.04 	|y= -0.03 	|z= -0.24	Mag:	|x= -11.38 	|y= 16.19 	|z= -34.06	Accl:	|x= 0.11 	|y= 0.84 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.72Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.00 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.24	Mag:	|x= -11.00 	|y= 16.19 	|z= -32.88	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.49	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.73Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.23	Mag:	|x= -10.25 	|y= 16.56 	|z= -34.06	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.74Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.24	Mag:	|x= -11.38 	|y= 16.87 	|z= -34.06	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.74Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= 0.06	Linear:	|x= -0.04 	|y= -0.01 	|z= -0.26	Mag:	|x= -11.00 	|y= 16.56 	|z= -35.25	Accl:	|x= 0.14 	|y= 0.84 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.74Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.06 	|z= 0.12	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.23	Mag:	|x= -10.69 	|y= 16.19 	|z= -33.25	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.76Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= -0.12 	|z= 0.12	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.24	Mag:	|x= -11.75 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.14 	|y= 0.87 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.78Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.24	Mag:	|x= -11.75 	|y= 16.56 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.80Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.06	Linear:	|x= -0.01 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.75 	|y= 16.87 	|z= -34.50	Accl:	|x= 0.14 	|y= 0.87 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.82Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.12 	|z= 0.00	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.23	Mag:	|x= -11.00 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.88 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.84Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.12 	|y= 0.06 	|z= -0.12	Linear:	|x= -0.04 	|y= -0.03 	|z= -0.25	Mag:	|x= -11.75 	|y= 17.25 	|z= -34.50	Accl:	|x= 0.11 	|y= 0.84 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.87Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.26	Mag:	|x= -11.75 	|y= 16.87 	|z= -34.06	Accl:	|x= 0.14 	|y= 0.83 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.89Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.01 	|y= -0.04 	|z= -0.25	Mag:	|x= -11.75 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.14 	|y= 0.83 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.90Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.19 	|z= 0.06	Linear:	|x= -0.03 	|y= -0.01 	|z= -0.21	Mag:	|x= -11.00 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.86 	|z= 9.55	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.92Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= 0.06	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.24	Mag:	|x= -10.69 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.92Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.24	Mag:	|x= -11.38 	|y= 16.19 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.95Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.06 	|z= -0.06	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.27	Mag:	|x= -10.69 	|y= 17.25 	|z= -33.69	Accl:	|x= 0.11 	|y= 0.84 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.98Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.27	Mag:	|x= -11.00 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.48	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.98Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.02 	|y= 0.00 	|z= -0.27	Mag:	|x= -11.75 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.87 	|z= 9.49	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 752.00Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.25	Mag:	|x= -11.00 	|y= 15.75 	|z= -32.06	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
